Make,AccidentArea,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,BasePolicy,daysDiff,FraudFound
Mercury,Urban,Male,Married,49,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,Collision,1,No
Honda,Urban,Male,Married,34,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,0,No
Mercury,Urban,Female,Married,51,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,189,No
VW,Urban,Male,Married,26,Third Party,Sedan,"more than 69,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,7,No
Mercury,Urban,Male,Married,39,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,7,No
Ford,Urban,Female,Married,30,Third Party,Sedan,"more than 69,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,1,No
Honda,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,1,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,7,No
Honda,Urban,Male,Married,47,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,Liability,6,No
Ford,Urban,Female,Married,33,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,3 to 5,no change,1 vehicle,Liability,0,No
Mercury,Urban,Male,Single,31,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0,No
Honda,Rural,Male,Married,50,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,Collision,0,No
Ford,Urban,Male,Married,78,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,more than 5,0 to 3 years,more than 1,Collision,3,No
Honda,Urban,Male,Married,41,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,5,No
Honda,Urban,Male,Single,39,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,17,No
Honda,Urban,Male,Married,33,Policy Holder,Sedan,"less than 20,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,5,No
Honda,Urban,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,2,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,none,no change,1 vehicle,Liability,5,No
Mercury,Urban,Female,Married,48,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,14,No
Honda,Urban,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,1,less than 4 years,No,No,External,none,no change,1 vehicle,Liability,12,No
Honda,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,4,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,52,No
Mercury,Urban,Male,Married,30,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Liability,31,No
Honda,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,2,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,291,No
Mercury,Urban,Male,Married,38,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Liability,16,No
Honda,Urban,Male,Married,28,Policy Holder,Sedan,"less than 20,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,All Perils,7,No
Honda,Urban,Male,Married,33,Policy Holder,Sedan,"less than 20,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,0,No
Honda,Urban,Female,Single,38,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,none,no change,more than 1,Liability,10,No
Mercury,Urban,Male,Married,31,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,0,No
Ford,Urban,Male,Married,36,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,8,No
Mercury,Urban,Male,Married,27,Third Party,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,8,No
Honda,Urban,Female,Married,60,Policy Holder,Sedan,"less than 20,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,All Perils,0,No
Honda,Rural,Male,Married,72,Third Party,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,0,No
Ford,Urban,Male,Married,44,Policy Holder,Sport,"40,000 to 69,000",400,2,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,none,4 to 8 years,more than 1,Liability,0,No
Mercury,Urban,Female,Single,77,Policy Holder,Sedan,"less than 20,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,23,No
Honda,Urban,Male,Single,40,Third Party,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,6,No
Mercury,Urban,Male,Single,43,Policy Holder,Sedan,"40,000 to 69,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0,Yes
Honda,Urban,Male,Married,33,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,2,No
Ford,Urban,Male,Married,36,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,71,No
Mercury,Urban,Male,Single,21,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,none,no change,1 vehicle,Collision,11,No
Honda,Urban,Female,Single,21,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,0,No
Mercury,Urban,Male,Single,33,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,41,No
Mercury,Urban,Male,Married,75,Policy Holder,Sedan,"more than 69,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,9,No
Honda,Rural,Male,Single,34,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,0,No
VW,Urban,Male,Single,31,Policy Holder,Sedan,"more than 69,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,33,No
Honda,Urban,Male,Married,31,Policy Holder,Sport,"20,000 to 39,000",500,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,0 to 3 years,1 vehicle,Liability,0,No
Mercury,Rural,Male,Married,47,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,0,No
Mercury,Rural,Male,Married,46,Policy Holder,Sedan,"less than 20,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,none,0 to 3 years,1 vehicle,All Perils,4,Yes
Honda,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,1,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,0,Yes
Honda,Urban,Male,Married,35,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Mercury,Urban,Male,Married,31,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,10,No
Mercury,Urban,Female,Single,33,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Single,35,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,8,No
Mercury,Rural,Female,Married,45,Third Party,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Single,17,Policy Holder,Utility,"more than 69,000",400,1,more than 30,more than 30,1,less than 4 years,No,No,External,none,4 to 8 years,more than 1,All Perils,3,Yes
Honda,Urban,Male,Single,50,Policy Holder,Utility,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,All Perils,18,No
Honda,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,4,more than 30,more than 30,1,less than 4 years,No,No,External,none,no change,1 vehicle,Collision,0,Yes
Mercury,Urban,Male,Married,42,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,0,No
Honda,Urban,Female,Single,32,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Ford,Urban,Male,Married,49,Third Party,Sedan,"more than 69,000",400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,1,No
Mercury,Urban,Male,Married,53,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,All Perils,0,No
Ford,Urban,Male,Married,32,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Married,52,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,All Perils,14,No
Honda,Urban,Male,Married,41,Third Party,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,16,No
Honda,Urban,Female,Single,36,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,1,No
Honda,Rural,Female,Married,46,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,4,No
Honda,Urban,Male,Married,32,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,1,No
Honda,Urban,Male,Married,32,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,more than 1,Collision,4,No
Ford,Urban,Male,Married,31,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,1,No
Honda,Urban,Male,Married,43,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Mercury,Urban,Female,Married,30,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,4,No
Honda,Urban,Male,Married,60,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,Collision,1,No
VW,Urban,Male,Single,55,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,All Perils,2,No
Honda,Urban,Male,Married,27,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0,No
Honda,Urban,Female,Married,29,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,6,No
Honda,Urban,Male,Single,25,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,4 to 8 years,more than 1,Collision,4,No
Honda,Urban,Male,Married,38,Policy Holder,Sport,"more than 69,000",400,2,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Married,26,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,8,No
Mercury,Urban,Male,Married,56,Policy Holder,Sedan,"less than 20,000",400,4,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,All Perils,6,No
Mercury,Urban,Male,Married,47,Third Party,Sedan,"more than 69,000",400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,3,No
Honda,Urban,Male,Married,29,Policy Holder,Sedan,"20,000 to 39,000",700,3,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,9,No
Honda,Urban,Male,Single,31,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Married,46,Third Party,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,1,No
Ford,Urban,Male,Married,60,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,1,more than 7,No,No,External,3 to 5,no change,1 vehicle,All Perils,2,No
Mercury,Urban,Male,Single,30,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,10,No
Ford,Rural,Male,Married,51,Policy Holder,Sedan,"40,000 to 69,000",400,2,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,All Perils,2,No
Ford,Rural,Male,Married,80,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,All Perils,5,No
Honda,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,2,more than 30,more than 30,1,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,5,No
VW,Urban,Male,Married,52,Policy Holder,Sedan,"more than 69,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,All Perils,7,No
Honda,Urban,Male,Married,36,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Married,67,Third Party,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,0,No
Mercury,Urban,Female,Single,58,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,31,No
Honda,Urban,Female,Single,31,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,0,No
Ford,Urban,Male,Married,50,Third Party,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,All Perils,0,No
Mercury,Urban,Male,Married,50,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,All Perils,6,No
Ford,Urban,Female,Married,55,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,none,more than 7,No,No,Internal,more than 5,no change,1 vehicle,Liability,0,No
Honda,Rural,Male,Married,36,Policy Holder,Sedan,"less than 20,000",500,4,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,0 to 3 years,more than 1,All Perils,2,No
VW,Urban,Male,Single,31,Policy Holder,Sedan,"more than 69,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,1,No
Honda,Urban,Male,Single,23,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,10,No
Honda,Urban,Male,Married,34,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,1,No
Mercury,Urban,Male,Married,30,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,0,No
Honda,Rural,Female,Married,45,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,0,No
Mercury,Urban,Male,Married,37,Policy Holder,Utility,"more than 69,000",400,3,more than 30,more than 30,2 to 4,more than 7,No,No,External,1 to 2,no change,1 vehicle,All Perils,105,No
Honda,Urban,Female,Married,35,Third Party,Sport,"more than 69,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,0 to 3 years,1 vehicle,Liability,16,No
Ford,Urban,Male,Married,30,Policy Holder,Utility,"more than 69,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,5,No
Mercury,Urban,Male,Married,50,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,none,4 to 6 years,No,No,External,none,0 to 3 years,1 vehicle,All Perils,2,Yes
Honda,Urban,Male,Married,47,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,Collision,18,No
Honda,Urban,Female,Single,26,Third Party,Sedan,"less than 20,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,1,No
Honda,Urban,Male,Married,59,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,more than 1,Collision,10,No
Honda,Urban,Male,Married,26,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,9,No
Honda,Urban,Male,Married,51,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,12,No
Ford,Rural,Male,Married,42,Policy Holder,Sedan,"20,000 to 39,000",700,2,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,8,No
Honda,Urban,Male,Married,37,Third Party,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,1,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Single,31,Policy Holder,Sedan,"more than 69,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,All Perils,0,No
Honda,Urban,Female,Single,31,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,3,No
Honda,Urban,Male,Single,35,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,All Perils,0,No
Honda,Urban,Female,Single,28,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Liability,52,No
Ford,Urban,Male,Married,26,Policy Holder,Sport,"40,000 to 69,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,4 to 8 years,more than 1,Liability,0,No
Honda,Urban,Male,Married,31,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,2,No
Ford,Urban,Male,Married,61,Policy Holder,Sedan,"40,000 to 69,000",400,2,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,Collision,7,Yes
Honda,Urban,Female,Single,35,Third Party,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,9,No
Ford,Urban,Female,Single,31,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,1 to 2,no change,1 vehicle,Collision,0,No
VW,Urban,Male,Married,69,Third Party,Sedan,"40,000 to 69,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,All Perils,0,No
Honda,Urban,Male,Married,40,Policy Holder,Sedan,"less than 20,000",400,4,1 to 15,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,All Perils,10,No
Honda,Urban,Male,Single,28,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,22,Yes
VW,Urban,Male,Married,44,Third Party,Sedan,"40,000 to 69,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,85,No
Honda,Urban,Male,Married,77,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,3,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Mercury,Urban,Male,Single,29,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Liability,0,No
Ford,Urban,Male,Married,53,Third Party,Sport,"40,000 to 69,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,3,No
Ford,Rural,Male,Single,29,Third Party,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,Internal,1 to 2,no change,1 vehicle,Liability,3,No
Ford,Urban,Male,Single,25,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,Collision,5,No
Ford,Urban,Male,Single,22,Third Party,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,1,No
Honda,Urban,Male,Single,28,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,8,No
Honda,Urban,Male,Single,22,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,1,No
Mercury,Urban,Male,Married,34,Third Party,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,3,No
Honda,Urban,Male,Married,30,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,3,No
Honda,Urban,Male,Married,59,Third Party,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,All Perils,1,No
Honda,Urban,Male,Married,46,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,none,4 to 8 years,more than 1,Liability,5,No
Honda,Urban,Female,Married,39,Policy Holder,Sedan,"40,000 to 69,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,3,No
Mercury,Urban,Male,Single,34,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0,No
VW,Urban,Male,Married,52,Third Party,Sedan,"more than 69,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,All Perils,13,No
Honda,Rural,Male,Married,47,Policy Holder,Sedan,"20,000 to 39,000",700,3,more than 30,more than 30,none,more than 7,No,No,External,1 to 2,no change,1 vehicle,All Perils,1,No
Honda,Urban,Female,Single,26,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Married,54,Policy Holder,Sedan,"more than 69,000",400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,All Perils,12,Yes
Ford,Urban,Male,Married,32,Policy Holder,Sport,"more than 69,000",400,3,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Liability,3,No
Mercury,Urban,Male,Married,28,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,4 to 6 years,Yes,No,External,none,no change,1 vehicle,Collision,11,No
Mercury,Urban,Female,Married,29,Third Party,Sedan,"20,000 to 39,000",500,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,0 to 3 years,1 vehicle,Collision,6,Yes
Mercury,Urban,Male,Married,27,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Mercury,Urban,Male,Single,36,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,more than 1,Liability,28,No
Honda,Rural,Male,Married,49,Policy Holder,Utility,"more than 69,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,23,No
Mercury,Urban,Female,Married,33,Policy Holder,Sedan,"less than 20,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,1,No
